Designator,Mid X,Mid Y,Rotation,Layer
C1,140.801,-86.929,0.0,top
C2,140.801,-99.929,0.0,top
D1,129.531,-82.519,0.0,top
D10,151.531,-112.399,0.0,top
D2,129.531,-89.989,0.0,top
D3,129.531,-97.459,0.0,top
D4,129.531,-104.929,0.0,top
D5,129.531,-112.399,0.0,top
D6,151.531,-82.519,0.0,top
D7,151.531,-89.989,0.0,top
D8,151.531,-97.459,0.0,top
D9,151.531,-104.929,0.0,top
J1,141.071,-114.929,270.0,bottom
Q1,140.791,-105.379,0.0,top
Q2,140.791,-93.379,0.0,top
R1,134.801,-90.929,90.0,top
R2,146.801,-90.929,90.0,top
R3,134.801,-102.929,90.0,top
R4,146.801,-102.929,90.0,top
